NAMESPACE            NAME                                       READY   UP-TO-DATE   AVAILABLE   AGE
circleguard-dev      circleguard-auth-service                   0/1     1            0           29d
circleguard-dev      circleguard-form-service                   0/1     1            0           29d
circleguard-dev      circleguard-gateway-service                0/1     1            0           29d
circleguard-dev      circleguard-identity-service               0/1     1            0           29d
circleguard-dev      circleguard-notification-service           0/1     1            0           29d
circleguard-dev      circleguard-promotion-service              0/1     1            0           29d
circleguard-dev      kafka                                      0/1     1            0           29d
circleguard-dev      neo4j                                      1/1     1            1           29d
circleguard-dev      postgres                                   1/1     1            1           29d
circleguard-dev      redis                                      1/1     1            1           29d
circleguard-dev      zookeeper                                  1/1     1            1           29d
circleguard-master   circleguard-auth-service                   0/1     1            0           29d
circleguard-master   circleguard-form-service                   0/1     1            0           29d
circleguard-master   circleguard-gateway-service                0/1     1            0           29d
circleguard-master   circleguard-identity-service               0/1     1            0           29d
circleguard-master   circleguard-notification-service           0/1     1            0           29d
circleguard-master   circleguard-promotion-service              0/1     1            0           29d
circleguard-master   kafka                                      0/1     1            0           29d
circleguard-master   neo4j                                      1/1     1            1           29d
circleguard-master   postgres                                   1/1     1            1           29d
circleguard-master   redis                                      1/1     1            1           29d
circleguard-master   zookeeper                                  1/1     1            1           29d
circleguard-stage    circleguard-auth-service                   0/1     1            0           29d
circleguard-stage    circleguard-form-service                   0/1     1            0           29d
circleguard-stage    circleguard-gateway-service                0/1     1            0           29d
circleguard-stage    circleguard-identity-service               0/1     1            0           29d
circleguard-stage    circleguard-notification-service           0/1     1            0           29d
circleguard-stage    circleguard-promotion-service              0/1     1            0           29d
circleguard-stage    kafka                                      0/1     1            0           29d
circleguard-stage    neo4j                                      1/1     1            1           29d
circleguard-stage    postgres                                   1/1     1            1           29d
circleguard-stage    redis                                      1/1     1            1           29d
circleguard-stage    zookeeper                                  1/1     1            1           29d
default              circleguard-auth-service                   0/1     1            0           29d
default              circleguard-form-service                   0/1     1            0           29d
default              circleguard-gateway-service                0/1     1            0           29d
default              circleguard-identity-service               0/1     1            0           29d
default              circleguard-notification-service           0/1     1            0           29d
default              circleguard-promotion-service              0/1     1            0           29d
default              kafka                                      0/1     1            0           29d
default              neo4j                                      1/1     1            1           29d
default              postgres                                   1/1     1            1           29d
default              redis                                      1/1     1            1           29d
default              zookeeper                                  1/1     1            1           29d
kube-system          coredns                                    2/2     2            2           29d
monitoring           kube-prometheus-stack-grafana              1/1     1            1           22d
monitoring           kube-prometheus-stack-kube-state-metrics   1/1     1            1           22d
monitoring           kube-prometheus-stack-operator             1/1     1            1           22d
