NAMESPACE            NAME                                             TYPE        CLUSTER-IP       EXTERNAL-IP   PORT(S)                        AGE
circleguard-dev      circleguard-auth-service                         ClusterIP   10.98.15.15      <none>        8180/TCP                       29d
circleguard-dev      circleguard-form-service                         ClusterIP   10.99.8.63       <none>        8086/TCP                       29d
circleguard-dev      circleguard-gateway-service                      ClusterIP   10.104.23.213    <none>        8087/TCP                       29d
circleguard-dev      circleguard-identity-service                     ClusterIP   10.96.39.74      <none>        8083/TCP                       29d
circleguard-dev      circleguard-notification-service                 ClusterIP   10.105.16.117    <none>        8082/TCP                       29d
circleguard-dev      circleguard-promotion-service                    ClusterIP   10.101.237.39    <none>        8088/TCP                       29d
circleguard-dev      kafka                                            ClusterIP   10.103.144.84    <none>        9092/TCP                       29d
circleguard-dev      neo4j                                            ClusterIP   10.98.94.153     <none>        7474/TCP,7687/TCP              29d
circleguard-dev      postgres                                         ClusterIP   10.107.24.115    <none>        5432/TCP                       29d
circleguard-dev      redis                                            ClusterIP   10.104.171.106   <none>        6379/TCP                       29d
circleguard-dev      zookeeper                                        ClusterIP   10.109.147.226   <none>        2181/TCP                       29d
circleguard-master   circleguard-auth-service                         ClusterIP   10.100.96.20     <none>        8180/TCP                       29d
circleguard-master   circleguard-form-service                         ClusterIP   10.111.60.137    <none>        8086/TCP                       29d
circleguard-master   circleguard-gateway-service                      ClusterIP   10.109.123.96    <none>        8087/TCP                       29d
circleguard-master   circleguard-identity-service                     ClusterIP   10.105.173.21    <none>        8083/TCP                       29d
circleguard-master   circleguard-notification-service                 ClusterIP   10.106.79.140    <none>        8082/TCP                       29d
circleguard-master   circleguard-promotion-service                    ClusterIP   10.96.195.53     <none>        8088/TCP                       29d
circleguard-master   kafka                                            ClusterIP   10.101.28.183    <none>        9092/TCP                       29d
circleguard-master   neo4j                                            ClusterIP   10.103.78.22     <none>        7474/TCP,7687/TCP              29d
circleguard-master   postgres                                         ClusterIP   10.101.94.149    <none>        5432/TCP                       29d
circleguard-master   redis                                            ClusterIP   10.96.172.233    <none>        6379/TCP                       29d
circleguard-master   zookeeper                                        ClusterIP   10.107.46.200    <none>        2181/TCP                       29d
circleguard-stage    circleguard-auth-service                         ClusterIP   10.110.188.106   <none>        8180/TCP                       29d
circleguard-stage    circleguard-form-service                         ClusterIP   10.108.45.119    <none>        8086/TCP                       29d
circleguard-stage    circleguard-gateway-service                      ClusterIP   10.110.79.80     <none>        8087/TCP                       29d
circleguard-stage    circleguard-identity-service                     ClusterIP   10.102.120.248   <none>        8083/TCP                       29d
circleguard-stage    circleguard-notification-service                 ClusterIP   10.106.84.12     <none>        8082/TCP                       29d
circleguard-stage    circleguard-promotion-service                    ClusterIP   10.108.244.47    <none>        8088/TCP                       29d
circleguard-stage    kafka                                            ClusterIP   10.104.150.25    <none>        9092/TCP                       29d
circleguard-stage    neo4j                                            ClusterIP   10.105.144.90    <none>        7474/TCP,7687/TCP              29d
circleguard-stage    postgres                                         ClusterIP   10.97.125.107    <none>        5432/TCP                       29d
circleguard-stage    redis                                            ClusterIP   10.111.182.21    <none>        6379/TCP                       29d
circleguard-stage    zookeeper                                        ClusterIP   10.103.151.216   <none>        2181/TCP                       29d
default              circleguard-auth-service                         ClusterIP   10.109.224.46    <none>        8180/TCP                       29d
default              circleguard-form-service                         ClusterIP   10.107.216.130   <none>        8086/TCP                       29d
default              circleguard-gateway-service                      ClusterIP   10.99.126.188    <none>        8087/TCP                       29d
default              circleguard-identity-service                     ClusterIP   10.103.244.93    <none>        8083/TCP                       29d
default              circleguard-notification-service                 ClusterIP   10.97.74.45      <none>        8082/TCP                       29d
default              circleguard-promotion-service                    ClusterIP   10.100.123.121   <none>        8088/TCP                       29d
default              kafka                                            ClusterIP   10.102.155.190   <none>        9092/TCP                       29d
default              kubernetes                                       ClusterIP   10.96.0.1        <none>        443/TCP                        29d
default              neo4j                                            ClusterIP   10.108.25.73     <none>        7474/TCP,7687/TCP              29d
default              postgres                                         ClusterIP   10.97.89.69      <none>        5432/TCP                       29d
default              redis                                            ClusterIP   10.103.135.132   <none>        6379/TCP                       29d
default              zookeeper                                        ClusterIP   10.103.170.178   <none>        2181/TCP                       29d
kube-system          kube-dns                                         ClusterIP   10.96.0.10       <none>        53/UDP,53/TCP,9153/TCP         29d
kube-system          kube-prometheus-stack-coredns                    ClusterIP   None             <none>        9153/TCP                       22d
kube-system          kube-prometheus-stack-kube-controller-manager    ClusterIP   None             <none>        10257/TCP                      22d
kube-system          kube-prometheus-stack-kube-etcd                  ClusterIP   None             <none>        2381/TCP                       22d
kube-system          kube-prometheus-stack-kube-proxy                 ClusterIP   None             <none>        10249/TCP                      22d
kube-system          kube-prometheus-stack-kube-scheduler             ClusterIP   None             <none>        10259/TCP                      22d
kube-system          kube-prometheus-stack-kubelet                    ClusterIP   None             <none>        10250/TCP,4194/TCP,10255/TCP   22d
monitoring           alertmanager-operated                            ClusterIP   None             <none>        9093/TCP,9094/TCP,9094/UDP     22d
monitoring           kube-prometheus-stack-alertmanager               ClusterIP   10.107.139.37    <none>        9093/TCP,8080/TCP              22d
monitoring           kube-prometheus-stack-grafana                    ClusterIP   10.103.45.111    <none>        80/TCP                         22d
monitoring           kube-prometheus-stack-kube-state-metrics         ClusterIP   10.99.223.145    <none>        8080/TCP                       22d
monitoring           kube-prometheus-stack-operator                   ClusterIP   10.101.102.143   <none>        443/TCP                        22d
monitoring           kube-prometheus-stack-prometheus                 ClusterIP   10.103.225.58    <none>        9090/TCP,8080/TCP              22d
monitoring           kube-prometheus-stack-prometheus-node-exporter   ClusterIP   10.97.223.19     <none>        9100/TCP                       22d
monitoring           prometheus-operated                              ClusterIP   None             <none>        9090/TCP                       22d
