NAME                               TYPE        CLUSTER-IP       EXTERNAL-IP   PORT(S)             AGE
circleguard-auth-service           ClusterIP   10.110.188.106   <none>        8180/TCP            29d
circleguard-form-service           ClusterIP   10.108.45.119    <none>        8086/TCP            29d
circleguard-gateway-service        ClusterIP   10.110.79.80     <none>        8087/TCP            29d
circleguard-identity-service       ClusterIP   10.102.120.248   <none>        8083/TCP            29d
circleguard-notification-service   ClusterIP   10.106.84.12     <none>        8082/TCP            29d
circleguard-promotion-service      ClusterIP   10.108.244.47    <none>        8088/TCP            29d
kafka                              ClusterIP   10.104.150.25    <none>        9092/TCP            29d
neo4j                              ClusterIP   10.105.144.90    <none>        7474/TCP,7687/TCP   29d
postgres                           ClusterIP   10.97.125.107    <none>        5432/TCP            29d
redis                              ClusterIP   10.111.182.21    <none>        6379/TCP            29d
zookeeper                          ClusterIP   10.103.151.216   <none>        2181/TCP            29d
